ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
AFG,Afghanistan,"[60.53, 29.32, 75.16, 38.49]",0.2362601159,0.24989745230000002,0.2417338522,0.24437270900000002,0.2462147298,0.2469778268,0.24193669010000002,0.2434800282,0.2428288558,0.25461944,0.24482905259999999,0.2398789411,0.2399189425,0.2388761409,0.24669354729999998,0.24949160110000002,0.2518260697,0.25873550640000004,0.24812884100000002,0.2384588358,0.2546587872,0.2558492951,0.24656439360000001,0.2548271228,0.2583825402,0.2530658092,0.2658045749,0.25305101879999997,0.25289202320000004,0.2620226585,0.26327772509999997,0.2659713686,0.2569043605,0.25103860489999996,0.2528526116,0.2585221623,0.27125024400000003,0.2520494881,0.2710277209,0.27515161460000004,0.273447323,0.27311472330000003,0.2619138941,0.2867399536,0.2684841248,0.2646443208,0.2721788025,0.2720787823,0.2820531617,0.2804638612,0.2906234533,0.283541095,0.2650735069,0.2715009653,0.2758348003,0.2876193378,0.2805378491
AGO,Angola,"[11.64, -17.93, 24.08, -4.44]",0.3146230518,0.3042605276,0.3063634801,0.3097685581,0.3089088277,0.3118758573,0.3097635531,0.30815574770000004,0.3099502655,0.3159541178,0.30929142800000003,0.3158510705,0.3150414187,0.3081957956,0.3151198746,0.3158221331,0.3164338142,0.31352011009999997,0.31652106409999997,0.3153143559,0.3101862981,0.3175155008,0.3226685992,0.3189360933,0.3248098055,0.3227654374,0.3227680917,0.32304362179999996,0.32247853820000005,0.3234898784,0.33325096719999997,0.3284430834,0.3247325505,0.32920331160000005,0.3378975675,0.3352203437,0.3281505242,0.32499148640000003,0.3388312948,0.3385351798,0.3337459798,0.3369546844,0.3382753838,0.34305768639999995,0.3392358057,0.3366492103,0.3420738908,0.342599955,0.3491338013,0.34541116369999997,0.3441706544,0.348519084,0.3455485247,0.3449692066,0.3488190291,0.355418933,0.3467736771
ALB,Albania,"[19.3, 39.62, 21.02, 42.69]",0.1910868566,0.1803965001,0.19720857790000001,0.1866376832,0.1896918914,0.1849351987,0.19468608310000002,0.1967826054,0.1942622698,0.18776577670000003,0.2024666056,0.19742362880000003,0.2070941729,0.20380492220000002,0.1973691519,0.1906631875,0.1972563513,0.18987351279999998,0.2109571227,0.1983775512,0.19569526880000002,0.1954866119,0.1938679551,0.20384921469999998,0.1983476653,0.2003134528,0.20755526280000003,0.21353432949999998,0.21220193340000001,0.221049755,0.2108443841,0.2145939176,0.21433745210000002,0.2110476191,0.2025787186,0.2160709645,0.2198394525,0.2189349645,0.21551469,0.21411963960000002,0.2226526922,0.2117360637,0.2132200013,0.2021341167,0.2134125409,0.21562791879999998,0.2176572256,0.22538326479999998,0.2174379591,0.227224245,0.228849733,0.2212487348,0.226817657,0.2228934875,0.2306866982,0.22455502989999998,0.24648689640000002
ARE,United Arab Emirates,"[51.58, 22.5, 56.4, 26.06]",0.3450770429,0.3413270098,0.3440041353,0.3446801758,0.35128887560000005,0.3534185053,0.347224314,0.3493035783,0.35075108509999997,0.3525168367,0.345820852,0.3507777296,0.3546047092,0.3482787483,0.3540647515,0.35545603659999997,0.35484388860000005,0.3527177674,0.3559525644,0.3498942419,0.35528713949999996,0.3581835998,0.3545020014,0.3531815261,0.3587382873,0.35686756119999996,0.3648037833,0.3519185836,0.3575898317,0.36259366559999995,0.3662849573,0.3645051059,0.3614380697,0.3608757776,0.3577398787,0.364714042,0.36626237580000004,0.3672564441,0.3684925612,0.3750412748,0.3661287344,0.37364903429999996,0.36812944280000004,0.3752783685,0.3696844015,0.3718122046,0.36892573910000004,0.3755205621,0.37690923390000003,0.3780450063,0.3821558341,0.3838999928,0.3748551975,0.3779094208,0.3817498372,0.38177089960000005,0.3837819674
ARG,Argentina,"[-73.42, -55.25, -53.63, -21.83]",0.1826556756,0.17674904219999998,0.17680962420000002,0.17758279049999998,0.1744789854,0.1774944557,0.18190530549999998,0.1769948507,0.1777455968,0.17817413640000002,0.1823524317,0.1762261181,0.1779580922,0.1797934437,0.18208037489999998,0.180124044,0.18128068030000002,0.17883020800000002,0.1826379528,0.1788989859,0.17668907709999998,0.1815483669,0.18497349759999998,0.185195483,0.18597150580000002,0.1885362283,0.18167291680000003,0.1859721564,0.18985973479999999,0.19038196289999998,0.18630208920000002,0.1896999572,0.1880607195,0.187763238,0.1945419833,0.1933564478,0.1952692335,0.1976205288,0.1963479964,0.19837283200000003,0.1951622909,0.1939491915,0.1969159177,0.1933310863,0.20179023829999998,0.1993615034,0.19618709450000002,0.1985549944,0.1985473322,0.2005374021,0.2020311034,0.2017966827,0.2011519453,0.2047561791,0.1981730202,0.2093317425,0.20760879719999997
ARM,Armenia,"[43.58, 38.74, 46.51, 41.25]",0.16388078490000002,0.1639150094,0.1663723457,0.1606978773,0.17131136300000002,0.17097962500000002,0.1721415158,0.1715680634,0.1711980716,0.15909797620000002,0.1560547879,0.16627317770000002,0.1668328499,0.16874672159999998,0.1734435557,0.17258036100000002,0.1725965393,0.168723661,0.1764548348,0.1753166398,0.1821155571,0.18531251199999998,0.1840008751,0.1811576379,0.1686185247,0.17894838100000002,0.1946621043,0.1828057042,0.1796311283,0.1831017889,0.17148811640000003,0.1960586602,0.183779738,0.19146980930000002,0.185492193,0.1765449608,0.19120830049999998,0.1889112309,0.188154771,0.19492920430000002,0.19561434770000002,0.2007326353,0.1976128193,0.19876363149999998,0.19655255430000002,0.1930580078,0.2026465483,0.1938436265,0.1991386384,0.2041404855,0.2079338328,0.20583559210000002,0.21096255889999999,0.2041250846,0.2182027878,0.2133406284,0.22099301600000001
ATF,French Southern Territories,"[68.72, -49.78, 70.56, -48.63]",0.06882194689,0.06811769341,0.0672676907,0.06799813097,0.07020057236999999,0.07119959039,0.07339455838,0.07126610921,0.06769692247,0.06755042318,0.07131415948,0.07108347439,0.06981665853,0.06971218533,0.06960821669,0.07364462619,0.0700646715,0.07153493652,0.07615931261,0.07450516222,0.07011716308999999,0.07096416151,0.07401692844,0.07622239583,0.07547811822,0.07659697266,0.07232589247,0.07174926622,0.07760160048,0.07506776529999999,0.07736907552,0.08121805284,0.08098923069,0.0786582506,0.07911142036,0.07674043511,0.07904999457,0.08380396322,0.0819443929,0.08652789171,0.08580130479999999,0.08187747937999999,0.08591647949,0.08868958062000001,0.0871585612,0.08275808377,0.0817915663,0.08284015299,0.08728370767999999,0.08580341254,0.08193954807,0.08593314887,0.08639864909,0.09118573134,0.08827513563,0.08523258735,0.09061093207000001
AUS,Australia,"[113.34, -43.63, 153.57, -10.67]",0.2543864593,0.2560918436,0.2525419693,0.2566224627,0.2547374782,0.2582782447,0.2563852889,0.2551214101,0.2572384481,0.2619699019,0.2500136248,0.2562182921,0.259700414,0.26073170749999997,0.2577885998,0.2560603859,0.2619314926,0.2595394678,0.2618401382,0.2634754002,0.2608784397,0.2625869904,0.2636080719,0.2623734256,0.2655217198,0.26770457270000003,0.26883936729999997,0.2696935616,0.2655341109,0.2665688243,0.2721226881,0.26777945259999997,0.271075487,0.26917992290000003,0.2708868314,0.2761274213,0.2738180356,0.27428880240000003,0.2797385115,0.2741674557,0.2731879051,0.2760355859,0.278586491,0.2762015762,0.2801156412,0.2790025504,0.2797153954,0.280980437,0.28287973180000003,0.281988565,0.2820303755,0.2827943156,0.28576902530000003,0.2813025429,0.283917764,0.2858012302,0.2846336767
AUT,Austria,"[9.48, 46.43, 16.98, 49.04]",0.1250184797,0.1291822933,0.143991277,0.132294035,0.13258537,0.1253571227,0.1331818255,0.1407454061,0.1361384852,0.1338795186,0.1518087888,0.138405593,0.145660056,0.1396315391,0.1364000199,0.13666217420000001,0.1328848887,0.1364722542,0.1564301078,0.1467010044,0.1369526109,0.1380693191,0.1384485948,0.1606821407,0.1427401745,0.1409619448,0.1469492127,0.1548935321,0.1546149327,0.1789275631,0.1550967216,0.1527765976,0.16474462039999999,0.1584311903,0.1515949821,0.1653164912,0.1619001624,0.16744545219999998,0.1620597906,0.16045614860000001,0.1674872557,0.1501636553,0.1541775483,0.1490178647,0.1685969204,0.1669825304,0.1589213997,0.1677353952,0.1629063607,0.1717581562,0.1693543965,0.1619767472,0.1773883277,0.1789003163,0.1703865781,0.1825487635,0.1850265924
AZE,Azerbaijan,"[44.79, 38.27, 50.39, 41.86]",0.1804234893,0.1814640867,0.1842032531,0.1794202532,0.18964368480000002,0.188680005,0.18972370019999998,0.1893488953,0.1912032592,0.17640217060000002,0.17165559330000002,0.1843722378,0.1848264581,0.1878902167,0.1902396605,0.19153139849999998,0.1918395932,0.1862947395,0.19198958189999998,0.19256680880000002,0.1966792548,0.205072099,0.20165370370000002,0.19903619849999998,0.19033465230000002,0.1962109487,0.2092935205,0.2003993822,0.1963859296,0.202606228,0.1908016277,0.21276249220000001,0.20351727530000002,0.20886226659999999,0.20133178189999998,0.1946752944,0.20431981189999998,0.20203518809999998,0.2055818428,0.2123680197,0.21003512829999998,0.2174272506,0.2127752431,0.2161036897,0.21320470419999998,0.2065633948,0.2192641559,0.2131747155,0.2171664139,0.21947748229999997,0.22235422280000003,0.22207490270000002,0.226930714,0.2192364103,0.2311702876,0.2306995174,0.2290201449
